IP,Timestamp,HTTP_Method,URL,HTTP_Status,User_Agent,Referrer,Request_Size_Bytes,Response_Size_Bytes,Session_ID,City
151.21.236.32,2024-07-06 20:55:37,POST,/signup,200,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.1),https://smith.com/,1126,2391,ab643f63-65e8-4b84-9069-4d037d10b15c,Paris
167.243.77.176,2024-04-09 21:58:10,DELETE,/home,200,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/15.0.826.0 Mobile/49S042 Safari/534.2",https://richard-williams.biz/,176,2497,f90692dd-a87f-4086-9d5c-c114a5009893,Tokyo
218.240.135.29,2024-05-27 18:29:21,DELETE,/checkout,301,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/39.0.831.0 Safari/536.1",http://cox.com/,1615,590,a1899534-2f7f-4ce6-9820-88a5ef935b5f,Londra
140.156.177.221,2024-07-25 14:07:43,DELETE,/signup,200,Mozilla/5.0 (Android 2.3; Mobile; rv:15.0) Gecko/15.0 Firefox/15.0,http://www.ward-todd.info/,1194,1049,eda94c99-2e7e-463a-b8b1-d5723ef7fb2a,Konya
218.171.245.154,2024-03-25 18:42:19,PUT,/checkout,301,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.0),https://www.fox-schultz.info/,479,957,8ebff976-8d08-4cd8-aba4-970bb174248d,Berlin
49.210.34.139,2024-01-27 12:12:28,POST,/blog,404,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/9427-04-06 16:33:06 Firefox/5.0,http://silva-barr.com/,1782,326,d21df5a6-e5bb-4d8d-87c1-c1588f400087,Bursa
157.193.87.47,2024-05-26 13:38:06,PUT,/contact,404,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/45.0.815.0 Safari/531.0",http://www.pruitt-gibson.com/,711,684,21687bfb-c78e-48e7-8eb2-68ff49babdbc,Londra
217.31.123.39,2024-03-29 09:39:49,DELETE,/search,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4u0416.0 Mobile/18T529 Safari/534.2",http://www.kelly-brown.com/,227,1159,8e9957f0-a529-4ebf-8fba-de799eda8134,Ankara
119.198.59.224,2024-01-01 14:28:03,PUT,/products,403,Opera/9.97.(X11; Linux x86_64; my-MM) Presto/2.9.170 Version/11.00,http://www.rivers.biz/,1429,4533,67091eb1-04cb-4a26-a301-7fc7a9aea18b,Paris
22.154.224.151,2024-07-07 10:31:35,DELETE,/search,200,Opera/9.53.(X11; Linux x86_64; nds-DE) Presto/2.9.170 Version/12.00,https://www.hall.com/,1161,1032,631511d5-bd3b-4494-bf27-cad837fe9918,Ankara
219.133.240.106,2024-05-03 05:40:52,DELETE,/checkout,500,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.0),https://www.rodriguez-maldonado.com/,1715,2944,e6d351f5-7c88-4d09-b320-417ab15febdf,Diyarbakır
84.82.174.143,2024-06-14 13:10:05,GET,/cart,403,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2 rv:6.0; wal-ET) AppleWebKit/533.22.3 (KHTML, like Gecko) Version/5.0 Safari/533.22.3",https://www.brennan.biz/,683,2917,e65319c8-666b-4132-87ef-cff8e3a406e4,Tokyo
106.229.94.27,2024-07-02 10:33:35,DELETE,/checkout,500,Opera/8.43.(Windows NT 5.0; br-FR) Presto/2.9.170 Version/11.00,https://cooley.com/,1361,3318,df50e4f4-ddc2-4c6d-b497-d1849a587145,Gaziantep
167.18.75.200,2024-07-16 00:13:41,POST,/contact,403,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; id-ID) AppleWebKit/532.46.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.46.1",http://www.bennett.org/,1172,1421,10ea0fd7-2722-4214-a5cb-f3dc13795162,Ankara
129.110.80.93,2024-07-08 07:24:09,PUT,/products,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/15.6d5408.0 Mobile/74H449 Safari/532.2",https://garcia-lewis.com/,1531,3270,d18c8357-ad44-4707-98bf-5a7bed36eddc,Tokyo
212.98.225.152,2024-01-11 05:52:58,PUT,/login,404,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/16.3s0256.0 Mobile/95X884 Safari/534.1",https://www.house.com/,762,2442,7c873173-535d-433a-8e21-2c3533dfbdd9,Konya
80.229.38.208,2024-07-26 19:10:46,POST,/services,301,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1),http://www.wright.com/,125,3138,8c175b3f-92b2-4d8b-b0b2-6f2e0eaef27c,New York
193.160.244.53,2024-05-25 20:20:21,DELETE,/home,301,"Mozilla/5.0 (Linux; Android 2.3.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/54.0.801.0 Safari/536.2",https://harris.com/,231,2352,626ca89d-d475-4c96-bb45-4aec2d7ea5c0,Paris
76.97.207.202,2024-07-27 10:11:06,POST,/products,403,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.1),http://johnson.info/,1668,4185,3bcbd08d-0ae0-43f4-b394-7eea35914c16,Paris
148.78.108.133,2024-02-08 08:37:55,DELETE,/home,301,Mozilla/5.0 (Windows 95; cmn-TW; rv:1.9.0.20) Gecko/9616-06-22 16:47:53 Firefox/12.0,https://www.olson-burke.com/,1966,1215,782bb413-ce2c-42fd-a19d-3207f4538815,İstanbul
210.40.228.155,2024-06-15 00:58:23,GET,/cart,404,Mozilla/5.0 (Android 3.2.2; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,https://moore.com/,1369,2514,80543238-9f1f-4aba-9e0b-e747fbf5258b,Tokyo
3.219.187.46,2024-03-14 19:00:14,PUT,/contact,500,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/51.0.809.0 Safari/533.2",https://www.miller-camacho.org/,1990,657,5ed8c8dd-8234-4e94-b0e2-e93efb2fcc14,Antalya
191.8.123.193,2024-06-08 14:53:55,PUT,/checkout,404,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.33.3 (KHTML, like Gecko) Version/4.0.3 Safari/534.33.3",https://deleon-zamora.info/,167,1644,61306a13-320c-4cf1-bad3-3c8115186d68,Adana
95.46.72.86,2024-03-28 19:36:42,PUT,/login,500,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5; rv:1.9.5.20) Gecko/4067-12-16 05:31:26 Firefox/3.8,https://www.walsh-kelly.info/,877,4577,32bda4cc-6a55-48ca-8e5c-048c9ab74064,Londra
178.33.166.231,2024-02-28 04:26:52,POST,/login,301,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0),http://www.reid.com/,1217,4825,217246d6-578d-40a7-9bee-a487a590144b,Berlin
39.15.183.108,2024-07-07 07:18:36,PUT,/home,200,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/47.0.828.0 Mobile/56T337 Safari/534.2",http://www.sanchez.org/,1363,1676,1e526d6e-b41b-4845-ab63-23f2e6ab758e,Edirne
198.28.11.226,2024-01-31 10:49:51,DELETE,/home,200,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_2; rv:1.9.6.20) Gecko/4313-10-20 02:18:54 Firefox/3.6.3,http://www.higgins-deleon.com/,1840,1499,45adfbd9-0733-47a1-80ef-b02045717bab,Gaziantep
47.37.146.50,2024-01-28 20:20:08,PUT,/home,301,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.0),http://www.reed.com/,1982,2786,f5db1ff7-137c-4e17-a145-833918a0330a,Gaziantep
212.163.138.226,2024-02-07 05:16:47,GET,/login,403,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1),https://ortiz.com/,683,2057,9982c9aa-a833-47ab-8f9a-32317d01bd5c,Londra
164.97.200.214,2024-03-17 07:14:31,DELETE,/signup,500,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.0),http://www.munoz.com/,1891,3151,bf2bdb0f-9421-4531-94bf-d9fc8cf5c467,Adana
174.229.177.31,2024-02-07 09:55:00,GET,/blog,301,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_7 rv:5.0; dz-BT) AppleWebKit/532.6.1 (KHTML, like Gecko) Version/5.0.4 Safari/532.6.1",https://www.fox.com/,1509,3103,c2c86b64-1c4d-4917-82d7-45c6e543dbd3,Adana
91.28.6.102,2024-05-14 10:27:11,DELETE,/blog,403,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_1; rv:1.9.3.20) Gecko/8266-10-06 07:11:57 Firefox/3.6.5,http://www.cooke.com/,1741,2892,5b0d4c31-03a7-4fc2-989b-636878c479ce,Diyarbakır
213.177.99.45,2024-06-02 12:55:12,GET,/about,403,Opera/9.31.(X11; Linux i686; bg-BG) Presto/2.9.176 Version/12.00,http://montes-fletcher.org/,1492,1116,4f9612e8-22dd-443d-b972-db66ca19fad1,Adana
217.226.176.68,2024-04-05 18:04:39,POST,/signup,301,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.1),https://www.wise-pearson.com/,1784,4955,3a477e1a-77a5-468e-9420-2f6125f1b8d3,İzmir
163.111.165.7,2024-04-28 04:21:06,POST,/login,404,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/14.0.895.0 Safari/532.2",https://www.avila.com/,876,4786,b9311e4b-cc50-4598-bf59-9c0e7c0c639f,İzmir
190.75.180.167,2024-04-08 21:37:33,DELETE,/signup,200,Opera/9.40.(Windows 98; tk-TM) Presto/2.9.178 Version/12.00,https://www.ayers-watts.org/,1069,4775,18590657-0b57-4480-8e72-72b52856cf51,New York
146.237.118.248,2024-04-22 00:29:54,PUT,/home,404,Opera/9.46.(X11; Linux x86_64; af-ZA) Presto/2.9.177 Version/10.00,https://barton.net/,1441,4068,11e8da00-e6be-46dd-8bc5-2d3d3e94f280,New York
177.250.165.157,2024-06-12 17:11:40,POST,/cart,404,Mozilla/5.0 (Windows NT 5.0; tl-PH; rv:1.9.2.20) Gecko/7678-12-15 15:20:26 Firefox/8.0,https://singh.com/,297,3410,5249d0d9-59e1-4d63-9ffc-d56f066c8180,Bursa
202.61.83.43,2024-05-24 01:16:48,DELETE,/services,500,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/53.0.883.0 Safari/531.0",http://hunt.biz/,643,2970,27678975-5c72-4fd0-bd6f-73499544850d,Diyarbakır
206.247.166.90,2024-06-23 16:18:17,GET,/login,500,Opera/9.98.(Windows NT 10.0; mni-IN) Presto/2.9.177 Version/11.00,http://tucker.info/,1406,4468,9cdbe5ed-4162-4933-b8f3-89b1d91fd4a2,Diyarbakır
166.50.226.67,2024-03-26 07:29:42,POST,/home,500,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.1),http://evans.net/,676,3117,0c881339-a651-497a-8244-4281f78faa00,Adana
25.47.239.211,2024-03-12 03:46:39,POST,/blog,500,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.20.2 (KHTML, like Gecko) Version/4.0.5 Safari/533.20.2",https://terry.com/,246,3910,694ea33c-7f48-4121-90e3-ba6b26323528,Diyarbakır
203.149.29.126,2024-04-18 16:50:50,DELETE,/signup,500,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.33.4 (KHTML, like Gecko) Version/4.0 Safari/535.33.4",https://www.allen.com/,238,4165,e0b86e85-5fc5-4c0d-b5b5-0afec0270437,Tokyo
207.192.165.197,2024-08-07 04:12:30,GET,/signup,404,Opera/9.41.(Windows NT 6.1; ps-AF) Presto/2.9.186 Version/11.00,https://www.smith-ellis.info/,1309,864,75585a65-d4c8-410c-a39d-b06599b36d00,Tokyo
108.27.67.7,2024-02-11 19:36:02,DELETE,/signup,301,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.1.3 (KHTML, like Gecko) Version/5.0.5 Safari/531.1.3",https://lopez-bell.com/,433,774,c20b9339-db83-433e-aead-dcc8f7a2ad40,Adana
153.222.125.106,2024-03-16 11:05:26,DELETE,/home,301,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.1),https://sims.com/,616,1693,d1de5a8f-c85b-41da-98ee-b39fc03609ed,İzmir
95.240.155.108,2024-01-18 18:33:50,GET,/home,200,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.0),http://ortiz.com/,899,2771,72c2e174-cb9d-4f0f-bd97-da33a4601f16,Londra
211.105.134.130,2024-07-12 04:57:54,GET,/cart,301,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1),https://wright-barron.org/,1786,4308,b370454c-735b-4230-8120-e2536189bd04,Tokyo
143.255.120.233,2024-07-12 18:51:30,GET,/search,500,Opera/8.82.(X11; Linux x86_64; lv-LV) Presto/2.9.165 Version/10.00,https://jones.com/,342,2020,5f0c0608-6b6a-4f93-b06d-dc96c82c55ba,Konya
139.72.198.203,2024-06-28 03:06:08,DELETE,/cart,500,Opera/9.40.(X11; Linux i686; tig-ER) Presto/2.9.173 Version/11.00,http://www.brown.org/,101,4356,e6bdf139-ad02-4d48-8c9f-e757e0f8b1fd,Berlin
197.55.155.237,2024-03-02 16:27:19,DELETE,/search,301,Mozilla/5.0 (Android 11; Mobile; rv:11.0) Gecko/11.0 Firefox/11.0,https://cohen.org/,1180,208,3776ebc2-9a26-4fab-b6e8-4dd03bd8a212,Diyarbakır
98.171.187.54,2024-01-02 04:26:37,PUT,/services,301,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6; rv:1.9.2.20) Gecko/4063-03-12 03:33:33 Firefox/3.6.9,http://www.davis.org/,1096,1681,d7821677-88ff-4c1d-b9b3-d475168a0120,Diyarbakır
187.226.1.208,2024-06-06 21:12:22,GET,/blog,301,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_3; rv:1.9.6.20) Gecko/6627-10-06 14:32:15 Firefox/3.8,https://www.garza.com/,1072,2351,c63ac93b-5a03-49d5-bec5-6b98c49226b9,Antalya
170.52.156.171,2024-04-24 15:11:16,DELETE,/about,301,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; dz-BT) AppleWebKit/532.22.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.22.6",https://roberts-pennington.info/,1870,3906,b02cc292-6a36-4cfd-a807-7ece5310e3d7,Paris
83.126.13.127,2024-08-12 03:47:51,DELETE,/contact,200,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/16.1l1258.0 Mobile/73F946 Safari/533.2",https://www.perez-hutchinson.com/,908,4899,e43f531b-60b4-4b37-847f-2acf400f3c07,Edirne
205.216.137.54,2024-03-11 03:27:55,DELETE,/blog,404,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.1),https://bass.net/,296,2931,4ba5e231-0a48-4fa1-b4fa-b331c8bed1b9,Adana
195.122.81.51,2024-07-18 07:06:44,DELETE,/profile,500,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/18.5a5885.0 Mobile/15D024 Safari/533.1",https://www.woodard.info/,875,3779,74025577-4a89-4508-a572-7ebb45a30a8d,Bursa
68.233.76.127,2024-02-16 15:01:58,GET,/cart,200,Opera/9.18.(Windows NT 6.2; vi-VN) Presto/2.9.190 Version/11.00,https://bailey.com/,361,2522,1a1f8f23-49a8-4858-aeeb-e3024e1a6480,Londra
151.114.249.193,2024-06-17 16:50:31,DELETE,/home,301,Mozilla/5.0 (Windows 95; sa-IN; rv:1.9.0.20) Gecko/3147-04-08 18:07:14 Firefox/12.0,http://martinez.com/,1792,1416,7bb852c6-2d61-401a-addc-630c7c3f1873,Bursa
126.152.223.225,2024-05-15 07:33:00,PUT,/signup,500,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_5; rv:1.9.3.20) Gecko/8222-03-11 02:37:42 Firefox/3.6.17,https://atkins-gonzales.com/,170,380,6011151e-d274-46a7-9105-d174a38a888f,Berlin
198.26.160.134,2024-02-09 04:14:59,PUT,/search,301,Opera/8.82.(Windows NT 10.0; da-DK) Presto/2.9.176 Version/12.00,http://www.randolph.com/,420,1859,bc7fc784-4a07-49af-b0da-67fd59a25e35,Diyarbakır
59.64.38.232,2024-05-27 05:38:15,PUT,/search,301,Opera/9.72.(X11; Linux x86_64; gu-IN) Presto/2.9.185 Version/11.00,https://carter.net/,174,4404,c3a9249a-8f3f-4c3e-ac9c-7324b6bb9428,Diyarbakır
198.55.51.44,2024-02-23 05:42:14,DELETE,/cart,301,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/51.0.848.0 Safari/535.2",http://beard.com/,1927,3895,c6cda820-e2be-49c9-b760-4cfbfc78446d,New York
51.146.97.114,2024-04-10 12:31:30,DELETE,/products,301,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/51.0.891.0 Safari/535.2",https://www.king.com/,904,4632,69eb2617-bcff-4fe0-94ca-ead7a4b2562d,İzmir
206.167.182.254,2024-04-05 11:12:25,PUT,/blog,200,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_5 rv:4.0; zh-SG) AppleWebKit/531.32.4 (KHTML, like Gecko) Version/5.1 Safari/531.32.4",https://www.boyle-taylor.com/,1960,4853,efc36a5f-8a71-43b1-8b11-4a9e37e435ec,Konya
202.177.193.51,2024-06-14 22:10:13,DELETE,/search,500,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/47.0.823.0 Mobile/44Z005 Safari/532.2",https://hamilton.com/,956,3875,d399f0f8-2307-4626-9f96-483c732dce7c,Bursa
13.255.169.37,2024-02-01 15:37:41,PUT,/profile,200,Mozilla/5.0 (Android 2.3.5; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0,http://cole.net/,651,4377,d4469158-f5ee-4e02-a321-f2ccea9e4c39,İstanbul
41.91.187.150,2024-05-14 09:30:24,PUT,/about,200,"Mozilla/5.0 (Linux; Android 9) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/28.0.842.0 Safari/532.0",http://webb-landry.biz/,895,1589,037d0d2c-3bf5-4aea-b2fc-8e08178db09d,Berlin
67.197.216.88,2024-05-25 01:20:52,GET,/products,403,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/39.0.808.0 Safari/531.0",http://fox.com/,996,1227,ac9cbe1c-a0f9-436b-a165-07f53e42c2ec,Bursa
139.95.160.9,2024-02-12 18:37:06,DELETE,/cart,200,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/62.0.817.0 Mobile/95R745 Safari/531.0",https://www.fuller.info/,1892,211,c5dcd958-6c1e-4f62-8bb9-3d52137a4d1f,Diyarbakır
50.250.65.45,2024-02-11 04:47:30,GET,/checkout,301,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/15.3h1461.0 Mobile/22Y325 Safari/536.0",http://chaney-santos.org/,1509,612,d6848de0-1979-44c6-a555-a75dd20ab3bc,İstanbul
20.111.76.219,2024-01-14 04:51:43,GET,/profile,500,Opera/8.75.(X11; Linux i686; byn-ER) Presto/2.9.161 Version/10.00,https://www.callahan.com/,1342,1904,0c5c6908-f314-4b15-a879-e45665a49c7d,Paris
204.1.150.189,2024-05-13 08:32:45,DELETE,/cart,301,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/37.0.816.0 Safari/532.2",https://www.shaffer.org/,148,2940,cdf98a9a-a41e-4ff1-b977-c205de172f39,Antalya
142.97.244.61,2024-07-27 01:47:19,PUT,/checkout,200,"Mozilla/5.0 (Windows CE) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/48.0.819.0 Safari/532.0",http://www.gonzalez-johnson.net/,166,2982,4b0482dc-6fdd-4ae1-b0d8-991a66e20bf7,New York
155.250.185.75,2024-08-15 02:20:59,DELETE,/login,404,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.1),http://www.nicholson.info/,1803,897,99915c89-85b9-46ae-996d-0a861f383932,Konya
21.118.167.133,2024-07-24 15:18:55,POST,/checkout,301,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/57.0.886.0 Safari/535.1",http://boyd.com/,878,2252,7d85efcc-a9c5-47f3-bf46-62c4541e6559,Antalya
62.156.65.8,2024-03-26 11:15:22,DELETE,/search,200,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.0),https://www.rogers.com/,1312,2043,0f094d88-1cd8-4505-997f-2c3f2fbcbb7d,İstanbul
149.132.163.186,2024-08-11 22:13:30,DELETE,/search,403,Opera/8.97.(Windows 95; tr-CY) Presto/2.9.164 Version/12.00,http://valencia.org/,1981,4382,91005fe6-2d4b-4eef-89b8-da18fd05ec0c,Ankara
195.157.33.10,2024-01-28 17:03:46,PUT,/services,403,Mozilla/5.0 (Windows CE; tn-ZA; rv:1.9.2.20) Gecko/2634-10-26 20:01:29 Firefox/13.0,https://rice.com/,1896,608,8f389d00-53af-42b2-8f28-599f8126261c,İstanbul
53.57.123.3,2024-05-29 14:28:00,POST,/blog,200,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/50.0.876.0 Safari/533.2",http://www.torres-estrada.net/,1388,3855,1bdb0c76-c571-4fbf-b4d8-5219a82d7fc1,Paris
